,Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Founded,Founders,Investor,Year
2659,CarDekho,Automotive,Series E,250000000.0,Jaipur,Redefining the country’s personal mobility ecosystem with technologically enhanced solutions.,2008.0,"Amit Jain, Anurag Jain",,2021
2660,Melorra,D2C jewellery,Venture - Series Unknown,24000000.0,Bangalore,A company that styles jewellery for the contemporary wardrobe.,2015.0,Saroja Yeramili,"9Unicorns, Symphony International Holdings Limited, Value Quest",2021
2661,AnKa SumMor,Sales and Distribution,Pre-series A,1000000.0,Bangalore,"AnKa SumMor is the service that allows businesses to focus on building their brands, while they provide Supply & Distribution expertise.",2017.0,"Rajiv Joshi, Ashok George",Inflection Point Ventures,2021
2662,Toch.ai,Tech,Series A,11000000.0,Mumbai,"Toch is an AI-driven platform that helps broadcasters, OTT platforms, media platforms, and creators to revolutionize videos.",2016.0,"Vinayak Shrivastav, Saket Dandotia, Alok Patil",,2021
2663,Playto Labs,E-learning,Seed,500000.0,Bangalore,Playto Labs provides robotics toys and online classes for kids to help them develop the key 21st century skills. Book a free trial for your child today at www.playtolabs.com,2021.0,Pavan Ponnaganti,Inflection Point Ventures,2021
2664,Fraazo,Food and Beverages,Series B,50000000.0,Mumbai,FRAAZO is Mumbai's favourite App for Fresh Vegetables and Fruits coming straight from the Farm to your Doorstep within 18 Hours.,2020.0,"Atul Kumar, Aashish Krishnatre",WestBridge Capital,2021
2665,Arcana,InfoTech & Services,Venture - Series Unknown,2300000.0,Bangalore,Arcana offers a Privacy Stack SDK to DApp developers on EVM compatible blockchains chains to build Privacy-First products.,2019.0,"Mayur Relekar, Aravindh Kumar, Abhishek Chaudhary","Republic Crypto, Woodstock, DCG, Sahil Lavingia",2021
2666,FloCareer,InfoTech & Services,Series A,5700000.0,Bangalore,"The Best Skills Validation Platform that provides ""Interview As-A-Service""​.",2018.0,"Mohit Jain,  Mehul Bhatt",Data Point Capital,2021
2667,Nap Chief,Fashion,Seed,200000.0,Mumbai,India's favourite Kid's wear and Family Sleepwear D2C Brand,2019.0,Raghav Gupta,Titan Capital,2021
2668,AcknoLedger,Crypto,Seed,1500000.0,Mumbai,AcknoLedger is a Global platform that distributes Web 3.0 Digital Assets Seamlessly across all the Metaverses and Gaming,2021.0,Yash Dahenkar,"Momentum 6, Basics Capital, Krypital Capital, Shima Capital, Magnus Capital",2021
2669,ApplicateAI,InfoTech & Services,Series A,30000000.0,Gurugram,"‘ApplicateAI’ is an integrated AI BOT platform for Enterprise with defined and curated work-flows for Sales, Consumer Engagement and Employee support and engagement.",2014.0,"Madhusudan Atmakuri, Ranjeet Kumar",,2021
2670,VLCC Health Care,"Health, Wellness & Fitness",Venture - Series Unknown,4000000.0,Gurugram,VLCC is today widely recognized for its comprehensive portfolio of beauty and wellness products and services,1989.0,Vandana Luthra,,2021
2671,Duroflex,Furniture,Venture - Series Unknown,60000000.0,Bangalore,"5 decades of experience, superior quality and best in class innovation help us in bringing you a wide range of mattresses, pillows, protectors and other sleep solutions.",1963.0,P. C. Mathew,Norwest Venture Partners,2021
2672,Aviom India,FinTech,Series C,8000000.0,Bhilwara,AVIOM India Housing Finance Pvt. Ltd. is a venture started by experienced professionals with a vision to improve the standard of living of families from the informal sector in rural areas,2016.0,Kajal Ilmi,Sabre Partners,2021
2673,Onato,Tech,Venture - Series Unknown,2200000.0,Bangalore,A startup solving inefficiencies in the agri supply chain,2021.0,"Vedant Katiyar, Ashish Jindal","Vertex Ventures, Omnivore",2021
2674,Mestastop Solutions,Biotechnology,Venture - Series Unknown,100000.0,Bangalore,"Mestastop aims to provide a solution for such challenges with their unique proprietary platforms, METAssay, METSCAN, and METVivo.",2018.0,Dr Arnab Roy Chowdhury,CIIE.CO,2021
2675,SaaS Labs,Tech,Series A,17000000.0,Noida,"Building high impact communication, workflow and productivity tools for sales and support teams throughout the globe.",2016.0,Gaurav Sharma,"Base 10 Partners, Eight Roads Ventures",2021
2676,Devnagri,Translation & Localization,Seed,600000.0,Noida,"Devnagri is an AI powered human translation platform, working in all 22 Indian languages.",2017.0,"Nakul Kundra, Himanshu Sharma","enture Catalyst, IPV",2021
2677,CRED,FinTech,Series E,250000000.0,Bangalore,CRED is a credit card payment platform that rewards users with points for paying their bills.,2018.0,Kunal Shah,"Tiger Global, Falcon Edge",2021
2678,ConveGenius,Education Management,Pre-seed,5000000.0,Noida,An EdTech social enterprise focused on closing the gap in educational achievement for children and youth in India.,2013.0,"Jairaj Bhattacharya, Shashank Pandey","BAce Capital, Heritas Capital, 3Lines Venture Capital",2021
2679,Totality,Entertainment,Venture - Series Unknown,1000000.0,Gurugram,"Totality with the goal of combining scalability through technology, innovation through design & retention through content.",2017.0,Anshul Rustaggi,"Leo Capital, Mayfield Fund",2021
2680,CredAble,FinTech,Series B,30000000.0,Mumbai,CredAble provides liquidity programs for enterprise supply chains.,2017.0,Nirav Choksi,"Plutus Wealth, Oaks Asset Management",2021
2681,MarketWolf,FinTech,Seed,5500000.0,Mumbai,"MarketWolf provides everyone an opportunity to begin their trading journey with a unique digital platform that is bold, simple and fun.",2017.0,"Vishesh Dhingra, Thomas Joseph","Anil Thadani, Ashutosh Sinha, Roy van Leeuwen",2021
2682,Wondrlab,Marketing & Advertising,Pre-series A,7000000.0,Mumbai,India's largest platform-first martech startup,2020.0,Saurabh Varma,"Pi Ventures LLP, Tanas Capital, Prodapt Holdings",2021
2683,SUN Mobility,Automotive,Venture - Series Unknown,50000000.0,Bangalore,Provider of universal energy infrastructure and services to accelerate mass EV usage!,2017.0,Chetan Maini,Vitol,2021
2684,Tamasha,Entertainment,Pre-series A,3000000.0,Mumbai,"Tamasha, the next-generation interactive entertainment platform.",2020.0,"Saurabh Gupta, Siddharth Swarnkar",Chiratae Ventures,2021
2685,Revfin,FinTech,Pre-series A,4000000.0,Delhi,"RevFin is a financial technology (FinTech) company, advanced digital lending platform makes getting a loan convenient and accessible for customers",2017.0,Sameer Aggarwal,"Ruchirans Jaipuria, Rishi Kajaria",2021
2686,Yu Foodlabs,Food and Beverages,Pre-series A,1000000.0,Gurugram,Re-imagining Packaged Foods with Natural Ingredients & ZERO Preservatives,2020.0,"Bharat Bhalla, Varun Kapur","Manish Choksi, Varun Vakil",2021
2687,MergerDomo,Investment Banking,Venture - Series Unknown,500000.0,Delhi,MergerDomo is the one-stop Global OnLine M&A marketplace for Corporate and Business Growth,2018.0,Hormazd Charna,Nadir B Godrej,2021
2688,FarMart,Farming,Series A,10000000.0,Gurugram,FarMart is an agritech platform that helps businesses easily source high quality produce at reasonable prices.,2015.0,"Alekh Sanghera, Mehtab Singh Hans",Matrix Partners India,2021
2689,Questt,EdTech,Series A,6750000.0,Gurugram,Questt is a Free online homework app that lets teachers assign gamified homework to students.,2020.0,"Akhil, Mohsin M, Rohit Pande",Celesta Capital,2021
2690,IDfy,InfoTech & Services,Series D,10000000.0,Mumbai,IDfy helps people and business build authentic relationships by ensuring that both parties are who they claim to be and can be trusted.,2011.0,Ashok Hariharan,"TransUnion, Blume Ventures",2021
2691,ClearDekho,Retail,Pre-series A,4000000.0,Ghaziabad,ClearDekho is India’s Leading Affordable Eyewear Brand.,2016.0,"Saurabh Dayal, Shivi Singh",Aroa Ventures,2021
2692,BookingJini,Hospitality,Pre-series A,1200000.0,Gurugram,BookingJini strive to empower Hotels from all aspects ranging from customer outreach to automate their booking process and improve their online presence and revenue to stimulate Top-line and Bottom-line growth.,2017.0,"Deepak Dash, Gourab Kumar Nandy, Manoj Pandia, Sibasish Mishra",Mumbai Angels Network,2021
2693,Sourcewiz,InfoTech & Services,Seed,3000000.0,Gurugram,Building a platform for exporters to digitize their workflows and help them grow and manage their business.,2021.0,"Divyaanshu Makkar, Vikas, Mayur","Blume, Alpha Wave Incubation",2021
2694,Tvasta,Mechanical Or Industrial Engineering,Venture - Series Unknown,400000.0,Chennai,Developing new-age manufacturing and automation technologies that can increase human productivity by allowing deep personalization.,2016.0,"Vidyashankar C, Parivarthan Reddy, Adithya Jain",Habitat for Humanity International,2021
2695,Kafqa Academy,E-learning,Seed,1300000.0,Bangalore,"Kafqa Academy is a global performing arts academy that offers classes in dancing, singing, and speech & drama.",2021.0,Shariq Plasticwala,"Global Founders Capital, Enzia Ventures, Better Capital",2021
2696,Trell,Social commerce,Venture - Series Unknown,100000000.0,Bangalore,Trell is turning over a new leaf with the wave of digitalization sweeping across the nation,2016.0,"Pulkit Agrawal, Arun Lodhi, Bimal Kartheek Rebba",Amazon,2021
2697,Storia,Food and Beverages,Series A,6000000.0,Mumbai,"Storia Foods and Beverages is committed to creating products that are natural, full of goodness and promote a healthy lifestyle.",2016.0,Vishal Shah,Sixth Sense Ventures,2021
2698,Clear,Tech,Series C,75000000.0,Bangalore,India’s leading FinTech SaaS platform,2011.0,"Archit Gupta, Srivatsan Chari","Kora Capital, Stripe, Alua Capital",2021
2699,Groww,FinTech,Series E,250000000.0,Bangalore,Groww is on a mission to democratize access to financial services for millions of Indians responsibly.,2016.0,"Lalit Keshre, Harsh Jain, Ishan Bansal, Neeraj Singh",Iconiq Growth,2021
2700,The Indus Valley,Consumer Goods,Venture - Series Unknown,1100000.0,Chennai,Consumer GoodsThe Indus Valley is a Direct to Consumer (D2C) healthy kitchenware brand.,2016.0,"Jagadeesh Kumar, Madhumitha Udaykumar","Rukam Capital, DSG Consumer Partners, The Chennai Angels",2021
2701,BharatPe,FinTech,Venture - Series Unknown,10000000.0,Delhi,"BharatPe launched India’s first UPI interoperable QR code, first ZERO MDR payment acceptance service, and first UPI payment backed merchant cash advance service.",2018.0,"Ashneer Grover, Shashvat Nakrani",MAS Financial Services,2021
2702,Teachmint,E-learning,Series B,78000000.0,Bangalore,Teachmint is an education infrastructure provider and India’s largest teaching platform.,2020.0,"Divyansh Bordia, Mihir Gupta","Rocketship.vc, Vulcan Capital",2021
2703,Porter,Logistics,Series E,100000000.0,Bangalore,Porter is India's Largest Marketplace for Intra-City Logistics.,2014.0,"Pranav Goel, Uttam Digga, Vikas Choudhary","Tiger Global, Vitruvian Partners",2021
2704,O4S,InfoTech & Services,Series A,6000000.0,Gurugram,O4S SaaS helps Consumer Brands to Digitize and Automate their Supply Chain thereby increasing Sales and Performance.,2017.0,"Divay Kumar, Shreyans Sipani","Think Investments, Venture Highway",2021
2705,Wobb,Marketing,Pre-seed,200000.0,Gurugram,The platform for marketers to find and work with influencers,2020.0,Ishan Jindal,"Alok Kohli, Sanjeev Bhargava",2021
2706,BASIC Home Loan,FinTech,Series A,3500000.0,Gurugram,BASIC Home Loan is India's first automated platform for secured lending with special focus on the affordable housing segment.,2020.0,"Atul Monga, Kalyan Josyula","Venture Catalysts, Gruhas Proptech",2021
2707,Siply,FinTech,Pre-series A,3200000.0,Bangalore,"A tech-enabled micro-savings platform, for the underserved masses, that makes it possible to save starting at Re. 1",2020.0,"Sousthav Chakrabarty, Anil Bhat","LetsVenture, AngelList India, Founder's Room Circle",2021
2708,BankSathi,FinTech,Venture - Series Unknown,500000.0,Delhi,"BankSathi is a Fintech platform to empower consumers to save money and time on financial products through safe, easy, and trustable shopping experience.",2020.0,Jitendra Dhaka,"Dinesh Godara, Anuj Ahuja, Aditya",2021
2709,Gramophone,AgriTech,Venture - Series Unknown,10000000.0,Indore,"Create a difference in farming by bringing timely information, technology and right kind of inputs to achieve better yields for farmers.",2016.0,"Tauseef Khan, Harshit Gupta",Z3Partners,2021
2710,Healofy,Femtech,Series B,6000000.0,Bangalore,Healofy was created with a mission to experience special motherhood through its products and its inexhaustive and evergrowing babycare tips,2016.0,"Gaurav Aggarwal, Shubham Maheshwari","Celesta Capital, Omidyar Network India",2021
2711,E42,Tech,Series A,5400000.0,Pune,E42 is the world’s leading Natural Language Processing- based AI platform driving enterprise cognition across processes.,2012.0,"Animesh Samuel, Sanjeev Menon",Pavestone Ventures,2021
2712,Spottabl,Human Resources,Seed,400000.0,Bangalore,Spottabl is a technology driven recruitment platform that has helped over 50 tech startups and growth stage companies discover their top talent through its intelligent and human backed model.,2017.0,"Vanishri Deshpande, Satheesh K V, Anupam Choudhari","LetsVenture, Paradigm Shift VC, Binny Bansal",2021
2713,DeHaat,InfoTech & Services,Series D,115000000.0,Gurugram,DeHaat™ is one of the fastest growing start-ups in Agri Tech sector and one of the very few companies providing end-to-end solutions and services to the farming community in India.,2012.0,"Amrendra Singh, Shyam Sundar, Adarsh Srivastav, Shashank Kumar","Sofina, Lightrock India, Temasek",2021
2714,Shumee,Retail,Venture - Series Unknown,,Bangalore,"An Indian, mom-made toy brand passionate about making playtime development-friendly, child-safe, and sustainable. Our design philosophy is that play is 90% child and 10% toy.",2014.0,Meeta Sharma Gupta,Dia Mirza,2021
2715,Zolve,FinTech,Series A,40000000.0,Bangalore,World's first cross-border Neobank,2020.0,Raghunandan G,DST Global,2021
2716,Instoried,Tech,Venture - Series Unknown,8000000.0,Bangalore,"The platform helps content writers in e-commerce, news, FMCG, and other verticals to optimize emotions in their marketing content.",2018.0,Sharmin Ali,"Pritt Investment Partners, 9Unicorns",2021
2717,SportZchain,sports,Pre-seed,400000.0,Mumbai,SportZchain is India's first blockchain based platform poised to disrupt a multi-billion dollar fan engagement industry.,2021.0,Siddharth Jaiswal,"Darq Capital, Jagadeesh Atukuri",2021
2718,Hypto,Tech startup,Seed,3000000.0,Chennai,The next generation of web services that democratize access to finance for developers and businesses.,2018.0,"Abhishek Rajagopal, Aravind Sriraman, Tholkappiyan Velavan",Stellaris Venture Partners,2021
2719,CHUPPS,Foootwear,Pre-series A,1100000.0,Mumbai,D2C footwear brand,2016.0,"Gaurav Agarwal, Yash Mukhi",Venture Catalysts,2021
2720,Zenduty,Tech,Pre-series A,1900000.0,Bangalore,"Next-generation end-to-end incident response platform for SREs, DevOps, ITOps and Support teams",2019.0,"Ankur Rawal, Vishwa Krishnakumar",StartupXseed Ventures,2021
2721,R for Rabbit,Consumer Goods,Venture - Series Unknown,5000000.0,Ahmedabad,The concept of R for Rabbit was conceived after the founder of the company was blessed with a baby.,2014.0,Kunal Popat,Xponentia Capital Partners,2021
2722,Acko,Insurance,Series D,255000000.0,Bangalore,ACKO is India’s first and fastest growing InsurTech company which makes buying and using insurance effortless.,2016.0,"Varun Dua, Ruchi Deepak","General Atlantic, Multiples",2021
2723,LoveLocal,Retail,Pre-series B,18000000.0,Mumbai,LoveLocal (formerly known as m.Paani) is bringing Trusted Local Shops Online and empowering them to deliver the neighbourhood shopping experience of the future.,2015.0,Akanksha Hazari,Vulcan Capital,2021
2724,SupplyNote,Food and Beverages,Pre-series A,1200000.0,Noida,"SupplyNote is Cloud based web and mobile enabled suite connecting outlets, service providers and suppliers.",2015.0,"Kushang, Abhishek Verma, Nitin Prakash, Harshit Mittal",Venture Catalysts,2021
2725,Vakilsearch,Legal Services,Venture - Series Unknown,10000000.0,Chennai,"India's largest Legal, Compliance & Tax services platform, and trusted partner in making legal simple!",2010.0,Hrishikesh Datar,InCorp India,2021
2726,Cloudphysician,HealthTech,Pre-series A,4000000.0,Bangalore,Cloudphysician is a healthtech company that is transforming the delivery of critical care.,2017.0,"Dr Dhruv Joshi, Dr Dileep Raman",Elevar Equity,2021
2727,Wiggles.in,Veterinary,Pre-series A,5500000.0,Pune,Wiggles India is a preventative healthcare brand for all things pets!,2018.0,Anushka Iyer,Anthill Ventures,2021
2728,Avanti Finance,FinTech,Series A2,15000000.0,Bangalore,A digital platform to make financial services accessible to 100 million unserved and underserved households across India,2017.0,"Nandan Nilekani, Vijay Kelkar","Oikocredit, Nomura, The Bill & Melinda Gates Foundation",2021
2729,Vanity Wagon,Consumer Goods,Pre-series A,700000.0,Delhi,Vanity Wagon is India's first true information oriented clean beauty marketplace.,2018.0,"Prateek, Naina Ruhail, Sahil Shreshtha",Inflection Point Ventures,2021
2730,Purplle,E-Commerce,Venture - Series Unknown,70000000.0,Mumbai,Purplle.com is one of India’s largest e-beauty destinations with more than 7 million monthly active users.,2012.0,"Rahul Dash, Manish Taneja",Kedaara,2021
2731,Wallmantra,Arts & Crafts,Venture - Series Unknown,,Noida,WallMantra is a well reputed wall decoration online store in India.,2013.0,Shivam Agarwal,Velocity,2021
2732,MFine,HealthTech,Series C,48000000.0,Bangalore,"MFine aims to make access to trusted healthcare simple, fast, and effective.",2017.0,"Prasad Kompalli, Ashutosh Lawania","Moore Strategic Ventures, BEENEXT",2021
2733,Aquatein,Food and Beverages,Seed,,Mumbai,India's First Protein Water in 21g and 10g Variants with BCAA.,2019.0,"Ananth B Prabhala, Mitisha Mehta",Eaglewings Ventures,2021
2734,Mentza,E-learning,Seed,400000.0,Mumbai,"Make great conversations accessible to everyone through a vibrant, small, safe, and easy real-time audio platform",2020.0,"Anurag Vaish, Tapasi Mittal, Fareesh Vijayarangam, Anand Parameswaran, Divya Balakrishnan",Inflection Point Ventures,2021
2735,ConnectedH,HealthTech,Seed,2300000.0,Gurugram,Connect different sectors of healthcare system and give the patients complete control over their information.,2018.0,"Shubham Gupta, Rahul Kumar, Suresh Singh","Kalaari Capital, Incubate Fund India",2021
2736,CredAvenue,FinTech,Series A,90000000.0,Chennai,CredAvenue is an organization on a mission to deepen and power the $120Trillion global enterprise debt market which would unlock a GDP multiplier and thus create massive economic value.,2017.0,Gaurav Kumar,"Sequoia Capital, Lightspeed, TVS Capital Funds",2021
2737,Vedantu,E-learning,Series E,100000000.0,Bangalore,Vedantu is a LIVE online learning platform that brings together students and teachers to achieve best results.,2011.0,"Vamsi Krishna, Pulkit Jain, Saurabh Saxena, Anand Prakash",ABC World Asia,2021
2738,Exotel,Telecommunications,Series C,35000000.0,Bangalore,"Asia's largest customer engagement platform, streamlining customer interactions for Swiggy, Ola, Flipkart, GoJek etc.",2011.0,"Shivakumar Ganesan, Ishwar Sridharan, Siddharth Ramesh, Vijay Sharma","IIFL AMC, Sistema Asia Fund, CX Partners, Singularity Growth Opportunities Fund",2021
2739,Fantasy Akhada,sports,Series A,2000000.0,Gurugram,Fantasy Akhada is one of India's fastest growing Fantasy Sports Platform.,2020.0,"Amit Purohit, Sumit Kumar Jha",Prime Securities Limited,2021
2740,Meesho,Social commerce,Venture - Series Unknown,570000000.0,Bangalore,Meesho is India’s largest marketplace for longtail products.,2015.0,"Sanjeev Barnwal, Vidit Aatrey","Fidelity, B Capital",2021
2741,PumPumPum,Automotive,Venture - Series Unknown,,Gurugram,Pumpumpum is empowering millennials with a smart car subscription model. We provide monthly subscription of pre-owned cars at affordable rates.,2018.0,Tarun Lawadia,LC Nueva AIF,2021
2742,Cusmat,Tech,Pre-series A,100000.0,Hyderabad,CUSMAT is India’s largest immersive skilling and training platform.,2016.0,"Abhinav Ayan, Anirban Jyoti Chakravorty",We Founder Circle,2021
2743,Homeville,InfoTech & Services,Venture - Series Unknown,7000000.0,Mumbai,A technology company focused on helping people buy their first home with down payment assistance at zero interest cost.,2017.0,Madhusudan Sharma,"9Unicorns, Varanium NexGen Fund",2021
2744,Coinshift,Blockchain,Seed,2500000.0,Chandigarh,CoinShift helps businesses and decentralised autonomous organisations (DAO's) manage their crypto easily,2021.0,Tarun Gupta,"Sequoia Capital, Sandeep Nailwal",2021
2745,Strip Finance,FinTech,Seed,400000.0,Hyderabad,Collateralised NFT & DeFi Liquidity Protocol With Interest Rate Discovery.,2021.0,"Varun Satyam, Yuvraj Chhibber, Yash Jejani","Old Fashion Research, Nothing Research, Tenzor capital",2021
2746,Ola Electric,Automotive,Venture - Series Unknown,200000000.0,Bangalore,Charging ahead to accelerate the world’s transition to sustainable mobility.,2017.0,Bhavish Aggarwal,"Falcon Edge, Softbank",2021
2747,Kolo,Construction,Pre-seed,550000.0,Bangalore,Home construction app for finding ideas and service providers near you,2020.0,"Pranav Garg, Jery Althaf",Better Capital,2021
2748,Chqbook,FinTech,Pre-series B,5000000.0,Gurugram,"Chqbook.com is India’s first neobank for small business owners offering world-class financial services through its five pillars of banking, khata, lending, insurance, and rewards.",2017.0,"Vipul Sharma, Rajat Kumar, Sachin Arora","Aavishkaar Capital, Rajiv Dadlani Group",2021
2749,My3DSelfie,Arts & Crafts,Pre-series A,,Guwahati,World's first to create 3d figurine from photos,2016.0,Harsha P Deka,"NEVF, AccelNest",2021
2750,EV Plugs,InfoTech & Services,Venture - Series Unknown,150000.0,Gurugram,EV charging station aggregator platform,2021.0,"Manish Narang, Kapil Narang, Ashwani Arora",,2021
2751,Rulezero,FinTech,Seed,2500000.0,Bangalore,"Rulezero is a legal/fintech startup reimagining private markets by building an intelligent platform that enables stakeholder participation and capital flow in a transparent, efficient and compliant manner.",2019.0,"Satish Mugulavalli, Srinivas Katta",The Treasury,2021
2752,CredRight,FinTech,Venture - Series Unknown,2700000.0,Hyderabad,"CredRight is a new age digital lending company 100% focused on Micro & Small businesses, making the process of availing loans simple",2016.0,Neeraj Bansal,"9Unicorns, Spearhead Capital, Venture Catalysts",2021
2753,Karbon Card,FinTech,Pre-series A,12000000.0,Bangalore,"Empower Indian startups by creating the right financial products starting with a high-limit corporate credit card with unlimited benefits, no personal liability and no fixed deposit.",2019.0,"Pei-fu Hsieh, Amit Jangir, Kartik Jain, Sunil Sinha","Ramp, Rainfall Ventures, Roka Works, Y Combinator",2021
2754,Auntie Fung,Food and Beverages,Venture - Series Unknown,400000.0,Bangalore,Serving delectable and eclectic pan-Asian fare to all foodies in a quick-service & healthy format,2015.0,"Satrajit Das, Subhradeep Bhowmik",India Angel Network,2021
2755,ePayLater,FinTech,Series B,10000000.0,Mumbai,ePaylater is a payment solution that aims to separate the experience of shopping from the hassles of payment process.,2015.0,"Aurko Bhattacharya, Akshat Saxena","Responsibility, Blue Ashva Capital, Pravega Ventures",2021
2756,Fittr,"Health, Wellness & Fitness",Series A,11000000.0,Pune,"FITTR’s mission is to reach out to 50 million people and make them fit, create jobs in the fitness industry, teach people how easy it is to stay fit and move together as a Wolfpack.",2016.0,"Rohit Chattopadhyay, Jitendra Chouksey, Suniel Shetty, Sonal Singh, Bala Dabbedi","Dream Capital, Elysian Park Ventures",2021
2757,Medikabazaar,HealthTech,Series C,75000000.0,Mumbai,"Medikabazaar, India’s pioneering and largest online B2B marketspace for medical supplies and equipment.",2014.0,"Vivek Tiwari, Ketan Malkan","CDC Group, Creaegis",2021
2758,Nimble Growth Organics,Farming,Seed,,Bangalore,Nimble Growth Organics is the new age Agri startup which through its proprietary package of practice (PoP) cultivates organic fruits & vegetables and ensure that authentic food reaches plate.,2016.0,"Rahul Saria, Nagendra Kalkuli, Abhisek Bhagchandka, Pradeep Kumar ML",,2021
2759,Delhivery,Logistics,Venture - Series Unknown,125000000.0,Gurugram,Delhivery is a leading logistics and supply chain services company in India.,2011.0,Sahil Barua,"Lee Fixel’s venture capital firm, Addition",2021
2760,Akudo,FinTech,Seed,4200000.0,Bangalore,A Learning-First Neobank for teenagers - Enable practical financial education for child today,2020.0,"Lavika Aggarwal, Sajal Khanna, Jgaveer Gandhi","Y Combinator, JAFCO Asia, Incubate Fund India, marquee angels",2021
2761,Sanctum Wealth,Investment Management,Venture - Series Unknown,10000000.0,Mumbai,Sanctum is an Indian wealth management firm which has acquired RBS India’s Private Banking business.,2016.0,Shiv Gupta,The Xander Group,2021
2762,88academics,EdTech,Pre-series A,3000000.0,Delhi,88academics an 88tuition Pte Ltd has been established with the social objective of making quality video-based learning material available to all students.,2018.0,Anil Ahuja,Aarin Capital,2021
2763,Upgame,sports,Venture - Series Unknown,,Gurugram,Upgame is the leading data intelligence and practice tracking platform for golfers,2017.0,Sameer Sawhney,"James Milner, Adam Lallana",2021
2764,Sanfe,"Health, Wellness & Fitness",Series A,1000000.0,Delhi,India’s revolutionary feminine hygiene and period care brand that strives to build a better world for women.,2018.0,"Archit Aggarwal, Harry Sehrawat","LetsVenture, Ajay Garg, Tarun Sharma",2021
2765,PredictiVu,Management Consulting,Pre-seed,1500000.0,Gurugram,"PredictiVu's AI-enabled dashboard integrated with India's largest, proprietary, weekly consumer purchase data, market intelligence and web insights",2020.0,,Kunal Sarkar,2021
2766,Sterling Accuris Wellness,HealthTech,Venture - Series Unknown,30000000.0,Ahmedabad,"STERLING ACCURIS WELLNESS PRIVATE LIMITED is a hospital & health care company based out of 3-FLOOR HERITAGE COMPLEX, NR.",2016.0,Girish Patel,Morgan Stanley Private Equity Asia,2021
2767,Bijnis,B2B startup,Series B,30000000.0,Delhi,Bijnis is revolutionizing the way manufacturers operate and scale their factories by digitizing their Demand/Supply/Captial/Operations.,2015.0,"Siddharth, Chaitanya Rathi, Siddharth Rastogi, Shubham Agarwal",Westbridge Capital,2021
2768,Capital Float,FinTech,Venture - Series Unknown,50000000.0,Bangalore,India's leading BNPL and digital credit platform serving millions of aspirational individuals.,2013.0,"Sashank Rishyasringa, Gaurav Hinduja",Lightrock India,2021
2769,Manch Technologies,InfoTech & Services,Pre-series A,1000000.0,Bangalore,"A Single Click Work Flow E-Sign solution to conduct speedy, accurate, efficient transactions through a “cash-less, presence-less, paperless” framework.",2017.0,Suresh Anantpurkar,Bharat Inclusion,2021
2770,Sochcast,Sochcast is an Audio experiences company that give the listener and creators an Immersive Audio experience,Venture - Series Unknown,,Online Media	#REF!,"CA Harvinderjit Singh Bhatia, Garima Surana, Anil Srivatsa",2020.0,"Vinners, Raj Nayak, Amritaanshu Agrawal",$Undisclosed,2021
2771,Glamyo Health,HealthTech,Series A,3000000.0,Delhi,Glamyo Health is an advanced healthcare co delivering a seamless experience for elective surgeries.,2019.0,"Archit Garg, Dr Preet Pal Thakur",Ananta Capital,2021
2772,CashBook,FinTech,Seed,2300000.0,Gurugram,"CashBook is a digital record-keeping app using which businesses can add entries, segregate records, and find overall balance instantly.",2020.0,"Vivek, Ashutosh Pathak","JAM, Better Tomorrow Ventures",2021
2773,The Money Club,FinTech,Pre-series A,1700000.0,Noida,The Money Club is a mobile platform for peer to peer chit funds.,2016.0,"Manuraj Jain, Surajit Ra","SOSV, Venture Catalysts",2021
2774,SuperZop,Retail,Series A,4000000.0,Mumbai,SuperZop is India's first and only vernacular B2B Grocery e-commerce platform that is transforming the unorganized retail sector.,2016.0,"Raghuveer Allada, Prithwi Singh, Darshan Krishnamurthy",Incofin’s India Progress Fund,2021
2775,Zypp Electric,Logistics,Series A,7000000.0,Gurugram,"Zypp is working to convert all deliveries for e-commerce, grocery, medicine and food vertical to go electric with e-scooter sharing app.",2017.0,"Akash Gupta, Rashi Agarwal","9Unicorns, Anthill Ventures",2021
2776,Alpha Coach,Professional Training & Coaching,Venture - Series Unknown,1200000.0,Mumbai,One to One Personal Fitness Coaching,2021.0,Ketan Mavinkurve,Jani Ventures INC,2021
2777,VRO Hospitality,Hospitality,Series A,3000000.0,Bangalore,One of the fastest-growing hospitality companies based out of Bangalore.,2018.0,"Safdhar Adoor, Sharath Rice, Dawn Thomas",CreedCap Asia Advisors,2021
2778,byteXL,E-learning,Venture - Series Unknown,200000.0,Hyderabad,"ByteXL is the first-ever, one-stop-shop for self-learning course work and guided training – preparing a new generation of coders for the workforce.",2019.0,"Sricharan Tadepalli, Karun Tadepalli",Joseph Joy,2021
2779,Leena AI,Tech,Series B,30000000.0,Gurugram,AI to help enterprises transform the employee experience.,2015.0,"Mayank Goyal, Anand Prajapati",Bessemer Venture Partners,2021
2780,CARS24,Automotive,Series F,450000000.0,Gurugram,"CARS24 is proud to be a tech-first organisation, looking to make inroads into the global auto-tech market in groundbreaking ways.",2015.0,"Mehul Agrawal, Vikram Chopra","DST Global, Falcon Edge, SoftBank Vision Fund 2",2021
2781,Klub,FinTech,Debt Financing,2000000.0,Bangalore,"A team of fintech, investment banking, venture capital, and technology veterans who bring a founder-first mindset.",2019.0,"Anurakt Jain, Ishita Verma",Trifecta Capital,2021
